City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Cururupu,BR,74.53,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
425,Muzhi,RU,52.97,overcast clouds,65.3667,64.6667,Gostinitsa
426,Bad Urach,DE,47.19,scattered clouds,48.4911,9.4001,Biosphärenhotel Graf Eberhard
427,Antofagasta,CL,56.48,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
429,Santiago,CL,53.85,overcast clouds,-33.4569,-70.6483,Hotel Panamericano
431,Faya,SA,68.52,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
432,Eureka,US,54.93,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
435,Laguna,US,72.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
437,Springbok,ZA,52.32,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
438,Chiradzulu,MW,65.82,clear sky,-15.6746,35.1407,Detroit hostel
440,Valdivia,CL,36.1,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
441,Vila Velha,BR,66.15,mist,-20.3297,-40.2925,Hotel Vitória Palace
442,Kemin,KG,74.79,clear sky,42.7846,75.6892,Hotel Kok-Oirok
444,Cubuk,TR,74.77,clear sky,40.2386,33.0322,Çubuk Öğretmenevi
445,Manosque,FR,53.56,scattered clouds,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
446,Gornyak,RU,59.27,clear sky,50.9942,81.4661,"Комфорт ""Danilo"""
447,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
450,Odienne,CI,72.05,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
451,Barguzin,RU,55.17,broken clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
453,Parana,AR,62.56,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
454,Butembo,CD,60.21,broken clouds,0.15,29.2833,Hotel Butembo
455,High Level,CA,62.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
457,Liverpool,GB,48.7,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
458,Lesosibirsk,RU,49.24,overcast clouds,58.2358,92.4828,"""Vitalina"" hotel"
459,Quatre Cocos,MU,74.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
461,Rodino,RU,58.26,clear sky,52.5,80.25,Hotel
462,Verkhnevilyuysk,RU,46.17,broken clouds,63.4453,120.3167,Gostinitsa Mila
463,Necochea,AR,56.41,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
464,Raudeberg,NO,48.87,light rain,61.9875,5.1352,Nordre Silda.
465,Mehamn,NO,46.35,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
466,Haines Junction,CA,42.75,clear sky,60.7522,-137.5108,Parkside Inn
467,Tias,ES,71.28,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
468,Mount Pleasant,US,73.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
471,Manica,FR,43.59,clear sky,49.0,-1.1667,Gite Lily
472,Mackenzie,CA,46.62,overcast clouds,55.2999,-123.1698,Hilton Shop
473,Havelock,US,70.95,clear sky,34.8791,-76.9013,Sherwood Motel
477,Usinsk,RU,54.14,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
478,Sao Borja,BR,56.95,few clouds,-28.6606,-56.0044,Hotel Executivo
480,Goderich,CA,66.52,scattered clouds,43.7501,-81.7165,Harmony Inn
481,Mo I Rana,NO,47.32,overcast clouds,66.3128,14.1428,Babettes Hotell
482,Ouahigouya,BF,73.83,few clouds,13.5828,-2.4216,Hotel Liberte
484,Xining,CN,64.98,broken clouds,36.6167,101.7667,Super Leisure Hotel
485,Ajijic,MX,64.94,overcast clouds,20.3,-103.2833,Hotel Danza del Sol
486,Medianeira,BR,56.07,few clouds,-25.2953,-54.0939,Martinhago Hotel
487,Zalegoshch,RU,49.93,clear sky,52.9008,36.8869,Inn Usadba
489,Sierra Vista,US,69.62,clear sky,31.5545,-110.3037,Gateway Studio Suites
492,Bahia Blanca,AR,65.62,overcast clouds,-38.7196,-62.2724,Hotel Argos
493,Waterloo,CA,59.79,fog,43.4668,-80.5164,The Walper Hotel
494,Guiglo,CI,71.33,heavy intensity rain,6.5456,-7.4966,Hotel GBAOLY 2
495,La Plata,AR,63.03,overcast clouds,-34.9215,-57.9545,Hotel Corregidor
496,Ler,SS,71.62,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
