City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Roma,US,43.2128,-75.4557,57.09,93,20,1.01,few clouds
174,San Cristobal,VE,7.7669,-72.225,73.58,93,96,2.3,overcast clouds
175,Merta,IN,26.65,74.0333,84.88,57,41,14.9,scattered clouds
176,Nayudupeta,IN,13.9,79.9,88.68,44,96,9.33,overcast clouds
177,Acurenam,GQ,1.0322,10.6488,66.31,99,100,2.73,overcast clouds
178,Kodiak,US,57.79,-152.4072,51.31,93,100,9.22,overcast clouds
179,Puerto Escondido,MX,15.85,-97.0667,78.66,87,99,13.87,overcast clouds
180,Mawlaik,MM,23.6333,94.4167,86.0,80,68,1.45,broken clouds
181,Sabha,LY,27.0377,14.4283,78.44,21,0,5.86,clear sky
182,Coihaique,CL,-45.5752,-72.0662,34.41,86,0,3.44,clear sky
183,Lata,PT,40.1629,-8.3327,65.07,93,98,1.97,overcast clouds
184,Port Lincoln,AU,-34.7333,135.8667,57.72,67,30,25.68,scattered clouds
185,Oranjestad,AW,12.524,-70.027,84.15,74,20,11.5,few clouds
186,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.77,98,93,2.75,overcast clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,57.22,92,0,21.0,clear sky
188,Ribeira Grande,PT,38.5167,-28.7,73.26,85,36,8.88,scattered clouds
189,San Ramon,US,37.7799,-121.978,61.56,81,0,10.36,clear sky
190,Cuamba,MZ,-14.8031,36.5372,71.67,53,2,5.28,clear sky
191,Berlevag,NO,70.8578,29.0864,46.4,93,100,27.63,light rain
192,Adeje,ES,28.1227,-16.726,74.28,76,20,5.75,few clouds
193,Cascais,PT,38.6979,-9.4215,67.15,92,30,8.01,scattered clouds
194,Caravelas,BR,-17.7125,-39.2481,69.55,92,3,3.4,clear sky
195,Port Hardy,CA,50.6996,-127.4199,51.8,100,40,4.61,scattered clouds
196,Asau,RO,46.4333,26.4,58.28,90,59,2.13,broken clouds
197,Nioki,CD,-2.7167,17.6833,70.63,93,99,2.35,light rain
198,Inhambane,MZ,-23.865,35.3833,70.5,76,0,6.4,clear sky
199,Upernavik,GL,72.7868,-56.1549,33.3,81,9,16.15,clear sky
200,Edgewater,US,28.9889,-80.9023,76.08,84,100,4.36,overcast clouds
201,Kruisfontein,ZA,-34.0033,24.7314,55.89,85,100,8.19,overcast clouds
202,Shelburne,CA,44.0787,-80.2041,57.99,98,99,7.31,overcast clouds
203,Jumla,NP,29.2747,82.1838,67.75,77,96,3.53,overcast clouds
204,Florida,US,28.7505,-82.5001,74.07,87,0,0.0,clear sky
205,Nachalovo,RU,46.338,48.2013,67.96,100,100,11.18,overcast clouds
206,Hofn,IS,64.2539,-15.2082,47.62,67,99,5.66,overcast clouds
207,Denison,US,33.7557,-96.5367,79.07,68,0,12.66,clear sky
208,Vardo,NO,70.3705,31.1107,48.18,93,100,26.46,moderate rain
209,Udachnyy,RU,66.4167,112.4,34.45,69,100,22.68,overcast clouds
210,Buraydah,SA,26.326,43.975,77.45,18,0,9.13,clear sky
211,Cidreira,BR,-30.1811,-50.2056,59.88,82,0,13.47,clear sky
212,Aripuana,BR,-9.1667,-60.6333,78.13,55,14,1.34,few clouds
213,Port Hedland,AU,-20.3167,118.5667,93.25,10,32,9.22,scattered clouds
214,Morgan City,US,29.6994,-91.2068,75.0,92,30,5.01,scattered clouds
215,Sechura,PE,-5.5569,-80.8222,64.18,84,22,10.31,few clouds
